,business_id,short_inspect_date,risk_category,short_violation_id,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
295,5951,20160413,High Risk,103103,1,0,0,2,0,0,2
296,79272,20160929,Moderate Risk,103133,8,0,0,0,0,0,7
297,27791,20150414,Low Risk,103142,0,0,0,0,0,2,2
298,59986,20150910,Moderate Risk,103120,0,0,0,0,0,2,0
299,315,20150518,High Risk,103114,0,0,3,0,0,2,2
300,27799,20170829,High Risk,103109,3,0,2,3,0,0,3
301,1296,20160209,Low Risk,103161,0,0,5,0,0,0,3
302,90233,20171208,Low Risk,103157,2,2,0,0,0,0,0
303,64835,20171211,Moderate Risk,103132,0,4,0,0,0,7,4
304,74399,20161206,Moderate Risk,103120,0,0,4,0,0,3,2
305,84759,20171207,Moderate Risk,103119,0,3,0,0,0,0,5
306,89969,20180228,Moderate Risk,103124,3,0,0,0,0,0,3
307,4672,20161206,Low Risk,103154,0,6,0,0,0,0,3
308,63926,20160906,Moderate Risk,103119,0,0,2,0,0,0,2
309,69026,20160607,Low Risk,103149,0,4,0,0,0,0,3
310,18079,20160502,Low Risk,103139,0,0,0,0,0,0,2
311,1800,20171207,Moderate Risk,103133,0,5,0,0,0,0,5
312,9273,20161018,Low Risk,103144,0,0,0,0,0,5,4
313,774,20161205,Low Risk,103157,0,0,0,0,0,0,5
314,89922,20171212,Low Risk,103144,0,3,0,0,0,0,0
315,80419,20160930,Moderate Risk,103133,0,4,0,0,0,0,5
316,79406,20160412,Moderate Risk,103133,3,0,0,0,0,3,3
317,62943,20160902,Low Risk,103148,0,4,5,0,0,0,7
318,86362,20160923,Low Risk,103139,3,0,0,0,0,0,1
319,6660,20171214,Moderate Risk,103132,0,5,0,3,0,0,9
320,85952,20161018,Moderate Risk,103129,0,0,2,0,0,0,4
321,65238,20161206,Moderate Risk,103133,0,3,0,0,0,2,2
322,14568,20160502,Moderate Risk,103119,0,0,2,0,0,0,3
323,9164,20160812,Low Risk,103157,4,0,0,0,0,0,4
324,3659,20160603,Moderate Risk,103120,2,0,0,0,0,5,4
325,99,20171207,Moderate Risk,103131,0,6,0,0,0,8,0
326,3478,20180223,Moderate Risk,103119,2,2,0,0,0,0,1
327,5478,20160814,Moderate Risk,103119,0,0,0,1,0,1,2
328,63136,20161109,Moderate Risk,103131,1,0,0,0,0,0,1
329,3228,20160330,Low Risk,103157,0,0,0,0,0,0,3
330,66717,20180222,High Risk,103114,3,0,0,0,0,1,3
331,1677,20170105,Moderate Risk,103133,0,0,0,0,0,0,4
332,77858,20171130,Moderate Risk,103119,0,2,0,0,0,1,2
333,64513,20160518,Low Risk,103144,2,0,0,0,0,0,2
334,64612,20180226,Moderate Risk,103124,7,0,5,0,0,3,4
335,78374,20160814,Moderate Risk,103119,0,0,0,0,0,0,1
336,5824,20180227,Moderate Risk,103116,2,3,0,0,0,2,0
337,2497,20160607,Moderate Risk,103133,0,0,4,0,0,0,4
338,65382,20170927,Low Risk,103139,0,0,3,0,0,0,3
339,86284,20161005,Low Risk,103157,0,5,0,4,0,0,3
340,59397,20160114,Low Risk,103144,0,3,0,0,0,4,3
341,79632,20160322,Moderate Risk,103120,0,6,0,0,0,0,4
342,69792,20160412,Low Risk,103177,0,0,0,0,0,4,5
343,69147,20161205,High Risk,103105,0,3,0,0,0,0,2
344,66536,20160413,Moderate Risk,103120,0,4,0,0,0,0,4
345,3174,20151104,High Risk,103102,0,0,0,0,0,0,5
346,12199,20160628,Low Risk,103154,0,0,0,0,0,0,3
347,393,20150707,Low Risk,103143,0,0,5,0,0,4,6
348,85377,20170104,Moderate Risk,103119,4,0,0,0,0,0,2
349,589,20160503,High Risk,103105,0,0,0,0,0,0,4
350,80631,20171212,Low Risk,103154,0,6,0,0,0,3,5
351,71997,20151006,Moderate Risk,103120,0,0,1,3,0,0,2
352,33160,20161205,Low Risk,103165,0,0,0,0,0,0,2
353,74468,20171212,Low Risk,103142,0,5,0,0,0,0,0
354,89687,20170301,Low Risk,103139,0,3,0,0,0,0,4
355,415,20150903,Low Risk,103154,0,0,0,0,0,4,2
356,17723,20180222,Moderate Risk,103124,6,0,0,0,0,0,5
357,1797,20160113,High Risk,103105,0,4,0,0,0,5,6
358,5847,20160309,Moderate Risk,103131,0,2,0,0,0,1,1
359,83773,20170104,Moderate Risk,103129,0,0,0,0,0,0,4
360,88657,20160830,Moderate Risk,103120,0,0,0,4,0,0,1
361,74800,20180212,High Risk,103109,2,0,0,0,0,0,2
362,84394,20151222,High Risk,103103,0,0,5,0,0,0,6
363,3350,20171214,Moderate Risk,103124,0,1,0,0,0,0,2
364,19,20171211,Low Risk,103144,0,2,0,0,0,0,3
365,86074,20170105,Low Risk,103154,1,0,0,0,0,0,1
366,85924,20160203,Moderate Risk,103124,0,0,0,5,0,0,5
367,87624,20161206,Moderate Risk,103116,0,0,0,0,0,0,2
368,72153,20160809,Moderate Risk,103120,1,0,0,2,0,0,2
369,28169,20161206,Low Risk,103143,3,0,0,0,0,0,4
370,65833,20171208,Moderate Risk,103133,0,2,0,0,0,0,2
371,5477,20160814,Moderate Risk,103120,0,0,3,0,0,0,2
372,83538,20150729,Low Risk,103154,7,0,4,0,0,5,7
373,18940,20160930,Low Risk,103154,0,0,0,0,0,0,3
374,4794,20170105,Low Risk,103157,5,0,0,0,0,0,3
375,69288,20160531,Moderate Risk,103119,0,0,0,0,0,0,2
376,5459,20160814,Moderate Risk,103120,0,0,1,1,0,0,1
377,7603,20180223,Low Risk,103154,2,0,0,0,0,2,1
378,68826,20160204,Low Risk,103157,0,0,0,0,0,0,6
379,82926,20161003,Low Risk,103159,0,0,0,0,0,0,2
380,3076,20160815,Moderate Risk,103120,0,0,0,4,0,2,3
381,7880,20171107,Moderate Risk,103131,0,1,0,0,0,0,2
382,39528,20170105,High Risk,103114,1,0,0,0,0,0,1
383,3335,20160815,Low Risk,103156,5,0,5,0,0,0,5
384,74149,20161207,Moderate Risk,103124,0,7,0,0,0,0,4
385,80027,20160603,Low Risk,103149,0,0,0,0,0,0,1
386,5630,20160814,Low Risk,103154,0,0,0,0,0,0,3
387,7488,20180209,Low Risk,103144,3,0,0,0,0,4,6
388,37507,20160518,Low Risk,103144,0,0,3,0,0,0,2
389,7095,20171211,Moderate Risk,103119,0,3,0,0,0,0,0
390,81579,20160902,Moderate Risk,103131,0,2,4,0,0,0,3
391,34865,20170104,Low Risk,103144,0,3,0,0,0,0,4
392,65425,20160126,Low Risk,103142,0,0,0,0,0,0,3
393,1452,20171205,Moderate Risk,103132,0,2,0,0,0,0,3
394,68261,20160518,Moderate Risk,103119,0,0,0,0,0,1,2
395,33641,20160607,Low Risk,103154,6,0,0,0,0,0,3
396,93361,20171219,Moderate Risk,103131,0,3,0,0,0,0,0
397,3649,20160930,Moderate Risk,103124,0,3,0,0,0,0,4
398,34665,20160929,Low Risk,103149,0,0,0,4,0,0,4
399,37755,20150819,Low Risk,103161,0,0,0,0,0,2,4
400,81468,20161206,Low Risk,103154,0,0,0,0,0,0,2
401,83808,20160329,Moderate Risk,103132,0,0,6,0,0,10,5
402,5905,20160325,Low Risk,103147,2,0,3,0,0,0,5
403,74829,20160923,Moderate Risk,103124,0,0,1,0,0,0,3
404,83476,20160428,Moderate Risk,103133,0,3,0,0,0,0,7
